 frame 	 train 	 tail 	 loops 
  634  	  183  	  0   	   0   
  635  	  183  	  0   	   0   
  636  	  178  	  0   	   5   
  637  	  182  	  0   	   1   
  638  	  182  	  0   	   1   
  639  	  183  	  0   	   0   
  640  	  183  	  0   	   0   
  641  	  183  	  0   	   0   
  642  	  182  	  0   	   1   
  643  	  182  	  0   	   1   
  644  	  183  	  0   	   0   
  645  	  183  	  0   	   0   
  646  	  182  	  0   	   1   
  647  	  180  	  0   	   3   
  648  	  182  	  0   	   1   
  649  	  182  	  0   	   1   
  650  	  182  	  0   	   1   
  651  	  183  	  0   	   0   
  652  	  183  	  0   	   0   
  653  	  182  	  0   	   1   
  654  	  183  	  0   	   0   
  655  	  183  	  0   	   0   
  656  	  180  	  3   	   0   
  657  	  183  	  0   	   0   
  658  	  183  	  0   	   0   
  659  	  183  	  0   	   0   
  660  	  183  	  0   	   0   
  661  	  183  	  0   	   0   
  662  	  183  	  0   	   0   
  663  	  182  	  0   	   1   
  664  	  183  	  0   	   0   
  665  	  183  	  0   	   0   
  666  	  183  	  0   	   0   
  667  	  183  	  0   	   0   
  668  	  183  	  0   	   0   
  669  	  183  	  0   	   0   
  670  	  183  	  0   	   0   
  671  	  183  	  0   	   0   
  672  	  183  	  0   	   0   
  673  	  183  	  0   	   0   
  674  	  183  	  0   	   0   
  675  	  183  	  0   	   0   
  676  	  183  	  0   	   0   
  677  	  183  	  0   	   0   
  678  	  183  	  0   	   0   
  679  	  183  	  0   	   0   
  680  	  183  	  0   	   0   
  681  	  183  	  0   	   0   
  682  	  182  	  1   	   0   
  683  	  183  	  0   	   0   
  684  	  183  	  0   	   0   
  685  	  181  	  2   	   0   
  686  	  183  	  0   	   0   
  687  	  181  	  1   	   1   
  688  	  183  	  0   	   0   
  689  	  183  	  0   	   0   
  690  	  183  	  0   	   0   
  691  	  180  	  0   	   3   
  692  	  175  	  0   	   8   
  693  	  172  	  0   	  11   
  694  	  175  	  1   	   7   
  695  	  180  	  0   	   3   
  696  	  180  	  0   	   3   
  697  	  181  	  0   	   2   
  698  	  183  	  0   	   0   
  699  	  183  	  0   	   0   
  700  	  183  	  0   	   0   
  701  	  182  	  0   	   1   
  702  	  182  	  0   	   1   
  703  	  182  	  0   	   1   
  704  	  183  	  0   	   0   
  705  	  180  	  2   	   1   
  706  	  183  	  0   	   0   
  707  	  183  	  0   	   0   
  708  	  183  	  0   	   0   
  709  	  183  	  0   	   0   
  710  	  182  	  0   	   1   
  711  	  183  	  0   	   0   
  712  	  183  	  0   	   0   
  713  	  182  	  0   	   1   
  714  	  183  	  0   	   0   
  715  	  183  	  0   	   0   
  716  	  183  	  0   	   0   
  717  	  183  	  0   	   0   
  718  	  183  	  0   	   0   
  719  	  183  	  0   	   0   
  720  	  183  	  0   	   0   
  721  	  183  	  0   	   0   
  722  	  183  	  0   	   0   
  723  	  183  	  0   	   0   
  724  	  183  	  0   	   0   
  725  	  183  	  0   	   0   
  726  	  183  	  0   	   0   
  727  	  183  	  0   	   0   
  728  	  180  	  0   	   3   
  729  	  179  	  0   	   4   
  730  	  181  	  0   	   2   
  731  	  183  	  0   	   0   
  732  	  183  	  0   	   0   
  733  	  181  	  0   	   2   
  734  	  183  	  0   	   0   
  735  	  179  	  0   	   4   
  736  	  183  	  0   	   0   
  737  	  174  	  0   	   9   
  738  	  179  	  2   	   2   
  739  	  173  	  3   	   7   
  740  	  183  	  0   	   0   
  741  	  179  	  0   	   4   
  742  	  181  	  0   	   2   
  743  	  172  	  0   	  11   
  744  	  174  	  0   	   9   
  745  	  182  	  0   	   1   
  746  	  182  	  0   	   1   
  747  	  180  	  0   	   3   
  748  	  175  	  0   	   8   
  749  	  181  	  0   	   2   
  750  	  182  	  0   	   1   
  751  	  183  	  0   	   0   
  752  	  182  	  0   	   1   
  753  	  180  	  0   	   3   
  754  	  179  	  0   	   4   
  755  	  181  	  2   	   0   
  756  	  180  	  0   	   3   
  757  	  176  	  0   	   7   
  758  	  181  	  0   	   2   
  759  	  181  	  0   	   2   
